npm error code ELSPROBLEMS
npm error missing: @babel/core@^7.23.5, required by socratic-app@1.0.0
npm error missing: @expo/metro-config@~0.20.0, required by socratic-app@1.0.0
npm error missing: @react-native-async-storage/async-storage@1.21.0, required by socratic-app@1.0.0
npm error missing: @testing-library/jest-native@^5.4.3, required by socratic-app@1.0.0
npm error missing: @testing-library/react-native@~11.5.0, required by socratic-app@1.0.0
npm error missing: @types/jest@~29.5.0, required by socratic-app@1.0.0
npm error missing: @types/react-native@0.73.0, required by socratic-app@1.0.0
npm error missing: @types/react-test-renderer@~18.0.0, required by socratic-app@1.0.0
npm error missing: @types/react@~18.2.14, required by socratic-app@1.0.0
npm error missing: @typescript-eslint/eslint-plugin@^6.13.2, required by socratic-app@1.0.0
npm error missing: @typescript-eslint/parser@^6.13.2, required by socratic-app@1.0.0
npm error missing: eslint-config-prettier@^9.1.0, required by socratic-app@1.0.0
npm error missing: eslint-plugin-import@^2.29.1, required by socratic-app@1.0.0
npm error missing: eslint-plugin-react-hooks@^4.6.0, required by socratic-app@1.0.0
npm error missing: eslint-plugin-react-native@^4.1.0, required by socratic-app@1.0.0
npm error missing: eslint-plugin-react@^7.33.2, required by socratic-app@1.0.0
npm error missing: eslint@^8.55.0, required by socratic-app@1.0.0
npm error missing: expo-document-picker@~11.10.1, required by socratic-app@1.0.0
npm error missing: expo-status-bar@~1.11.1, required by socratic-app@1.0.0
npm error missing: expo@^53.0.20, required by socratic-app@1.0.0
npm error missing: husky@^8.0.3, required by socratic-app@1.0.0
npm error missing: jest-expo@~53.0.10, required by socratic-app@1.0.0
npm error missing: jest@~29.2.1, required by socratic-app@1.0.0
npm error missing: lint-staged@^15.2.0, required by socratic-app@1.0.0
npm error missing: metro-core@~0.83.1, required by socratic-app@1.0.0
npm error missing: metro-minify-terser@^0.84.0, required by socratic-app@1.0.0
npm error missing: metro-react-native-babel-preset@~0.83.1, required by socratic-app@1.0.0
npm error missing: metro-resolver@~0.83.1, required by socratic-app@1.0.0
npm error missing: metro-runtime@~0.83.1, required by socratic-app@1.0.0
npm error missing: metro-source-map@~0.83.1, required by socratic-app@1.0.0
npm error missing: metro@~0.83.1, required by socratic-app@1.0.0
npm error missing: prettier@^3.1.1, required by socratic-app@1.0.0
npm error missing: react-dom@18.2.0, required by socratic-app@1.0.0
npm error missing: react-native-svg-transformer@^1.5.0, required by socratic-app@1.0.0
npm error missing: react-native-svg@^15.8.0, required by socratic-app@1.0.0
npm error missing: react-native-web@~0.19.10, required by socratic-app@1.0.0
npm error missing: react-native@~0.76.0, required by socratic-app@1.0.0
npm error missing: react@18.2.0, required by socratic-app@1.0.0
npm error missing: typescript@~5.1.3, required by socratic-app@1.0.0
npm error A complete log of this run can be found in: /home/led/.npm/_logs/2025-08-28T20_47_25_296Z-debug-0.log
